id,season,episode,title,imdb_rating
332,14,7,Special Edna,7.1
336,14,11,Barting Over,6.6
343,14,18,"Dude, Where's My Ranch?",7
346,14,21,The Bart of War,6.6
351,15,1,Treehouse of Horror XIV,7.4
187,8,12,Mountain of Madness,8.6
356,15,6,Today I Am a Clown,6.6
358,15,8,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",6.7
360,15,10,Diatribe of a Mad Housewife,7.3
377,16,2,All's Fair in Oven War,7
371,15,21,Bart-Mangled Banner,6.2
393,16,18,A Star Is Torn,6.8
406,17,6,See Homer Run,6.9
362,15,12,Milhouse Doesn't Live Here Anymore,7.3
364,15,14,The Ziff Who Came to Dinner,6.9
383,16,8,Homer and Ned's Hail Mary Pass,6.4
402,17,2,The Girl Who Slept Too Little,6.9
366,15,16,The Wandering Juvie,6.9
403,17,3,Milhouse of Sand and Fog,7
404,17,4,Treehouse of Horror XVI,7.3
410,17,10,Homer's Paternity Coot,6.7
379,16,4,She Used to Be My Girl,6.6
367,15,17,My Big Fat Geek Wedding,6.7
390,16,15,Future-Drama,7.3
408,17,8,The Italian Bob,7
369,15,19,Simple Simpson,7.3
411,17,11,We're on the Road to D'ohwhere,7
386,16,11,On a Clear Day I Can't See My Sister,6.9
395,16,20,Home Away from Homer,7.1
376,16,1,Treehouse of Horror XV,7.4
381,16,6,Midnight Rx,7.3
384,16,9,Pranksta Rap,6.8
216,9,16,Dumbbell Indemnity,7.6
419,17,19,Girls Just Want to Have Sums,7.2
421,17,21,The Monkey Suit,7.1
443,18,18,The Boys of Bummer,6.3
455,19,5,Treehouse of Horror XVIII,7.1
440,18,15,Rome-Old and Juli-Eh,6.3
466,19,16,Papa Don't Leech,6.1
422,17,22,Marge and Homer Turn a Couple Play,6.6
435,18,10,The Wife Aquatic,6.6
478,20,3,"Double, Double, Boy in Trouble",7
429,18,4,Treehouse of Horror XVII,7.1
461,19,11,That '90s Show,6.3
483,20,8,The Burns and the Bees,6.6
431,18,6,Moe'N'a Lisa,6.8
433,18,8,The Haw-Hawed Couple,7.2
457,19,7,Husbands and Knives,7.1
470,19,20,All About Lisa,6.4
447,18,22,You Kent Always Say What You Want,7.3
480,20,5,Dangerous Curves,6.6
438,18,13,Springfield Up,7.3
436,18,11,Revenge Is a Dish Best Served Three Times,7
442,18,17,Marge Gamer,7.3
445,18,20,Stop! Or My Dog Will Shoot,7
464,19,14,Dial 'N' for Nerder,7.3
462,19,12,"Love, Springfieldian Style",6.6
482,20,7,MyPods and Boomsticks,7.1
476,20,1,"Sex, Pies and Idiot Scrapes",7.2
468,19,18,Any Given Sundance,7
228,10,3,Bart the Mother,7.5
485,20,10,"Take My Life, Please",7
487,20,12,"No Loan Again, Naturally",7
526,22,1,Elementary School Musical,6.3
494,20,19,"Waverly Hills, 9-0-2-1-D'oh",7.1
522,21,22,The Bob Next Door,7.2
492,20,17,"The Good, the Sad and the Drugly",7.2
510,21,10,Once Upon a Time in Springfield,6.7
502,21,2,Bart Gets a 'Z',6.6
491,20,16,Eeny Teeny Maya Moe,7.2
518,21,18,Chief of Hearts,6.9
503,21,3,The Great Wife Hope,6.3
520,21,20,To Surveil with Love,7.2
540,22,15,The Scorpion's Tale,6.7
538,22,13,The Blue and the Gray,6.9
513,21,13,The Color Yellow,6.6
531,22,6,The Fool Monty,6.5
508,21,8,"O Brother, Where Bart Thou?",7.2
512,21,12,Boy Meets Curl,6.8
542,22,17,Love Is a Many Strangled Thing,6.5
505,21,5,The Devil Wears Nada,6.7
545,22,20,Homer Scissorhands,7.2
515,21,15,Stealing First Base,7
532,22,7,How Munched is That Birdie in the Window?,6.4
544,22,19,The Real Housewives of Fat Tony,6.6
535,22,10,Moms I'd Like to Forget,6.3
528,22,3,MoneyBart,6.8
536,22,11,Flaming Moe,6.9
239,10,14,I'm with Cupid,7.3
552,23,2,Bart Stops to Smell the Roosevelts,7
554,23,4,Replaceable You,6.7
561,23,11,The D'oh-cial Network,7
610,25,10,Married to the Blob,7.1
571,23,21,Ned 'n Edna's Blend,6.7
579,24,4,Gone Abie Gone,6.7
584,24,9,Homer Goes to Prep School,6.9
603,25,3,Four Regrettings and a Funeral,6.5
607,25,7,Yellow Subterfuge,7
569,23,19,A Totally Fun Thing That Bart Will Never Do Again,7.4
556,23,6,The Book Job,7.8
563,23,13,The Daughter Also Rises,6.5
609,25,9,Steal This Episode,7.6
565,23,15,Exit Through the Kwik-E-Mart,6.9
590,24,15,"Black Eyed, Please",7
567,23,17,"Them, Robot",7.1
602,25,2,Treehouse of Horror XXIV,7.1
593,24,18,Pulpit Friction,6.5
586,24,11,The Changing of the Guardian,6.6
576,24,1,Moonshine River,6.4
581,24,6,A Tree Grows in Springfield,6.5
577,24,2,Treehouse of Horror XXIII,7.3
582,24,7,The Day the Earth Stood Cool,7.2
588,24,13,Hardly Kirk-ing,7
595,24,20,The Fabulous Faker Boy,6.3
605,25,5,Labor Pains,7.1
597,24,22,Dangers on a Train,7
240,10,15,Marge Simpson in: Screaming Yellow Honkers,7.3
614,25,14,The Winter of His Content,6.6
619,25,19,What to Expect When Bart's Expecting,5.8
633,26,8,Covercraft,6.5
638,26,13,Walking Big & Tall,6.3
655,27,5,Treehouse of Horror XXVI,6.8
660,27,10,The Girl Code,6.6
621,25,21,Pay Pal,6.7
651,27,1,Every Man's Dream,5.9
645,26,20,Let's Go Fly a Coot,6.2
642,26,17,Waiting for Duffman,6.7
657,27,7,Lisa with an 'S',6.3
636,26,11,Bart's New Friend,7.3
663,27,13,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,6.3
644,26,19,The Kids Are All Fight,6.9
641,26,16,Sky Police,6.9
626,26,1,Clown in the Dumps,5.8
628,26,3,Super Franchise Me,6.5
662,27,12,Much Apu About Something,6.7
634,26,9,I Won't Be Home for Christmas,6.8
629,26,4,Treehouse of Horror XXV,7.3
639,26,14,My Fare Lady,6.7
667,27,17,The Burns Cage,6.5
647,26,22,Mathlete's Feat,6.9
665,27,15,Lisa the Veterinarian,6.3
658,27,8,Paths of Glory,7.1
653,27,3,Puffless,7.2
43,2,18,Brush with Greatness,8
60,3,10,Flaming Moe's,8.8
5,1,5,Bart the General,8.1
74,3,24,"Brother, Can You Spare Two Dimes?",8.2
78,4,3,Homer the Heretic,9
102,5,2,Cape Feare,9
107,5,7,Bart's Inner Child,7.7
115,5,15,Deep Space Homer,8.8
119,5,19,Sweet Seymour Skinner's Baadasssss Song,8.4
120,5,20,The Boy Who Knew Too Much,8.2
131,6,6,Treehouse of Horror V,9
150,6,25,Who Shot Mr. Burns? (Part One),9.1
177,8,2,You Only Move Twice,9.2
184,8,9,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),8.5
198,8,23,Homer's Enemy,9.2
204,9,4,Treehouse of Horror VIII,8.1
207,9,7,The Two Mrs. Nahasapeemapetilons,7.7
